Plot,Year,Bag.1.weight(kg),Bag.2.weight(kg),Bag.3.weight(kg),Date.harvested,Total.Ovendried.weight.(kg),harvested.area(m^2),Total.Ovendried.weight(g/m^2),Notes,Recorder,Date Recorded 
1,2017,0.3000,0.1620,0.0828,11/28/2017,0.5448,0.5625,968.5333,the first 2 bags were labelled 1/2 and 2/2 but there was a third bag labelled 3/3. bag 3/3 was harvested on 11/29 instead of 11/28. ,CT,12/18/2017
2,2017,0.3942,0.1500,0.0368,11/28/2017,0.5810,0.5625,1032.8889,"labelled 1/2 and 2/2, but three bags total. 3rd bag collected on 11/29 instead of 11/28",CT,1/26/2018
3,2017,0.2522,0.3932,0.0146,11/28/2017,0.6600,0.5625,1173.3333,third bag collected on 11/29 instead of 11/28,CT,2/23/2018
4,2017,0.3544,0,0,11/29/2017,0.3544,0.5625,630.0444,,CT,1/26/2018
5,2017,0.4586,0,0,11/29/2017,0.4586,0.5625,815.2889,,CT,2/23/2018
6,2017,0.4066,0,0,11/29/2017,0.4066,0.5625,722.8444,,SM,1/31/2018
7,2017,0.3752,0,0,11/29/2017,0.3752,0.5625,667.0222,,CT,2/23/2018
8,2017,0.4032,0,0,11/29/2017,0.4032,0.5625,716.8000,,CT,2/23/2018
9,2017,0.2718,0.2482,0,11/29/2017,0.5200,0.5625,924.4444,,CT,1/26/2018
10,2017,0.5148,0,0,11/29/2017,0.5148,0.5625,915.2000,,CT,1/26/2018
11,2017,0.3752,0,0,11/29/2017,0.3752,0.5625,667.0222,,SM,1/31/2018
12,2017,0.4232,0,0,11/29/2017,0.4232,0.5625,752.3556,,CT,2/23/2018
13,2017,0.3984,0,0,11/29/2017,0.3984,0.5625,708.2667,,SM,1/10/2018
14,2017,0.392,0,0,11/29/2017,0.3920,0.5625,696.8889,,CT,2/23/2018
15,2017,0.3754,0,0,11/29/2017,0.3754,0.5625,667.3778,,CT,1/26/2018
16,2017,0.3826,0,0,11/29/2017,0.3826,0.5625,680.1778,,CT,2/23/2018
17,2017,0.3076,0,0,11/29/2017,0.3076,0.5625,546.8444,,CT,12/18/2017
18,2017,0.3482,0,0,11/29/2017,0.3482,0.5625,619.0222,,CT,2/23/2018
19,2017,0.2468,0.2460,0,11/29/2017,0.4928,0.5625,876.0889,bag 2/2 collected on 11/30 instead of 11/29,CT,1/26/2018
20,2017,0.4584,0,0,11/30/2017,0.4584,0.5625,814.9333,,CT,2/28/2018
21,2017,0.46,0,0,11/30/2017,0.4600,0.5625,817.7778,,CT,2/23/2018
22,2017,0.5086,0,0,11/30/2017,0.5086,0.5625,904.1778,,CT,2/23/2018
23,2017,0.5416,0,0,11/30/2017,0.5416,0.5625,962.8444,,CT,2/23/2018
24,2017,0.4906,0,0,11/30/2017,0.4906,0.5625,872.1778,rebagged,CT,2/28/2018
25,2017,0.4734,0,0,11/30/2017,0.4734,0.5625,841.6000,,CT,2/23/2018
26,2017,0.3946,0,0,11/30/2017,0.3946,0.5625,701.5111,,SM,1/31/2018
27,2017,0.3908,0,0,11/30/2017,0.3908,0.5625,694.7556,,SM,1/31/2018
28,2017,0.3928,0,0,11/30/2017,0.3928,0.5625,698.3111,,CT,2/23/2018
29,2017,0.3912,0,0,11/30/2017,0.3912,0.5625,695.4667,,CT,2/28/2018
30,2017,0.4588,0,0,11/30/2017,0.4588,0.5625,815.6444,,SM,1/31/2018
31,2017,0.4838,0,0,11/30/2017,0.4838,0.5625,860.0889,,CT,2/23/2018
32,2017,0.4756,0,0,11/30/2017,0.4756,0.5625,845.5111,,CT,2/28/2018
33,2017,0.5296,0,0,11/30/2017,0.5296,0.5625,941.5111,,SM,1/31/2018
34,2017,0.4754,0,0,11/30/2017,0.4754,0.5625,845.1556,,CT,2/23/2018
35,2017,0.4018,0,0,11/30/2017,0.4018,0.5625,714.3111,,SM,1/31/2018
36,2017,0.447,0,0,11/30/2017,0.4470,0.5625,794.6667,,CT,2/23/2018
37,2017,0.4574,0,0,11/30/2017,0.4574,0.5625,813.1556,,CT,2/28/2018
38,2017,0.2846,0,0,11/30/2017,0.2846,0.5625,505.9556,,CT,12/18/2017
39,2017,0.4012,0,0,11/30/2017,0.4012,0.5625,713.2444,,CT,2/23/2018
40,2017,0.42,0,0,11/30/2017,0.4200,0.5625,746.6667,,CT,2/23/2018
41,2017,0.3824,0,0,11/30/2017,0.3824,0.5625,679.8222,rebagged,CT,2/23/2018
42,2017,0.3708,0,0,11/30/2017,0.3708,0.5625,659.2000,,CT,2/28/2018
43,2017,0.5202,0,0,12/1/2017,0.5202,0.5625,924.8000,,CT,1/26/2018
44,2017,0.3750,0,0,12/1/2017,0.3750,0.5625,666.6667,,CT,1/26/2018
45,2017,0.4402,0,0,12/1/2017,0.4402,0.5625,782.5778,,CT,1/25/2018
46,2017,0.3998,0,0,12/1/2017,0.3998,0.5625,710.7556,,CT,1/25/2018
47,2017,0.4604,0,0,12/1/2017,0.4604,0.5625,818.4889,,SM,1/12/2018
48,2017,0.4180,0,0,12/1/2017,0.4180,0.5625,743.1111,,CT,1/25/2018
49,2017,0.4636,0,0,12/1/2017,0.4636,0.5625,824.1778,,CT,1/25/2018
50,2017,0.5706,0,0,12/1/2017,0.5706,0.5625,1014.4000,,CT,1/26/2018
51,2017,0.3880,0.236,0,12/1/2017,0.6240,0.5625,1109.3333,,CT,1/25/2018
52,2017,0.5186,0,0,12/1/2017,0.5186,0.5625,921.9556,,CT,1/25/2018
53,2017,0.3748,0,0,12/1/2017,0.3748,0.5625,666.3111,,SM,1/22/2018
54,2017,0.422,0,0,12/1/2017,0.4220,0.5625,750.2222,,SM,1/22/2018
55,2017,0.4650,0,0,12/1/2017,0.4650,0.5625,826.6667,,CT,1/25/2018
56,2017,0.4790,0,0,12/1/2017,0.4790,0.5625,851.5556,,CT,1/26/2018
57,2017,0.4644,0.2437,0,12/1/2017,0.7081,0.5625,1258.8444,,SM,1/10/2018
58,2017,0.5248,0,0,12/1/2017,0.5248,0.5625,932.9778,,CT,1/25/2018
59,2017,0.4050,0,0,12/1/2017,0.4050,0.5625,720.0000,,CT,1/25/2018
60,2017,0.4444,0,0,12/1/2017,0.4444,0.5625,790.0444,,CT,1/25/2018
61,2017,0.4678,0,0,12/1/2017,0.4678,0.5625,831.6444,,CT,12/18/2017
62,2017,0.3784,0,0,12/1/2017,0.3784,0.5625,672.7111,,CT,1/25/2018
63,2017,0.4842,0,0,12/1/2017,0.4842,0.5625,860.8000,,CT,1/26/2018
64,2017,0.4896,0,0,12/1/2017,0.4896,0.5625,870.4000,,CT,1/25/2018
,,,,,,,,,,,
