Plot,Year,Biomass.category,Strip1.biomass(g),Strip2.biomass(g),Strips.area(m^2),Plot.biomass(g/m^2),Date,prepped.cleaned.by
1,2018,Fescue,28.1600,37.12,0.2,326.4000,Nov-18,BMN
1,2018,Non-fescue monocots,8.78,7.5543,0.2,81.6715,Nov-18,BMN
1,2018,Non-woody dicots,1.1236,0.075,0.2,5.9930,Nov-18,BMN
1,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
1,2018,Dead,22.81,17.35,0.2,200.8000,Nov-18,BMN
2,2018,Fescue,26.36,59.78,0.2,430.7000,Nov-18,BMN
2,2018,Non-fescue monocots,2.2013,6.9481,0.2,45.7470,Nov-18,BMN
2,2018,Non-woody dicots,0.0317,0.0667,0.2,0.4920,Nov-18,BMN
2,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
2,2018,Dead,21.19,34.9,0.2,280.4500,Nov-18,BMN
3,2018,Fescue,42.44,70.42,0.2,564.3000,Nov-18,BMN
3,2018,Non-fescue monocots,6.225,3.4992,0.2,48.6210,Nov-18,BMN
3,2018,Non-woody dicots,0.0034,0,0.2,0.0170,Nov-18,BMN
3,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
3,2018,Dead,32.57,35.01,0.2,337.9000,Nov-18,BMN
4,2018,Fescue,55.7,104.9,0.2,803.0000,Nov-18,BMN
4,2018,Non-fescue monocots,5.6925,4.1912,0.2,49.4185,Nov-18,BMN
4,2018,Non-woody dicots,2.3485,0.0046,0.2,11.7655,Nov-18,BMN
4,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
4,2018,Dead,31.56,43.65,0.2,376.0500,Nov-18,BMN
5,2018,Fescue,8.1415,42.13,0.2,251.3575,Nov-18,BMN
5,2018,Non-fescue monocots,158.64,10.68,0.2,846.6000,Nov-18,BMN
5,2018,Non-woody dicots,0.0311,0.078,0.2,0.5455,Nov-18,BMN
5,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
5,2018,Dead,22.11,27.3,0.2,247.0500,Nov-18,BMN
6,2018,Fescue,40.59,42.44,0.2,415.1500,Nov-18,BMN
6,2018,Non-fescue monocots,6.6303,10.56,0.2,85.9515,Nov-18,BMN
6,2018,Non-woody dicots,0.1216,1.0248,0.2,5.7320,Nov-18,BMN
6,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
6,2018,Dead,32.93,25.35,0.2,291.4000,Nov-18,BMN
7,2018,Fescue,28.3,38.62,0.2,334.6000,Nov-18,BMN
7,2018,Non-fescue monocots,4.3353,11.32,0.2,78.2765,Nov-18,BMN
7,2018,Non-woody dicots,2.68,1.3181,0.2,19.9905,Nov-18,BMN
7,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
7,2018,Dead,26.41,27.4,0.2,269.0500,Nov-18,BMN
8,2018,Fescue,45.47,48.08,0.2,467.7500,Nov-18,BMN
8,2018,Non-fescue monocots,13.92,8.59,0.2,112.5500,Nov-18,BMN
8,2018,Non-woody dicots,0.0205,5.95,0.2,29.8525,Nov-18,BMN
8,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
8,2018,Dead,34.05,23.33,0.2,286.9000,Nov-18,BMN
9,2018,Fescue,33.35,4.7646,0.2,190.5730,Nov-18,BMN
9,2018,Non-fescue monocots,65.85,85.52,0.2,756.8500,Nov-18,BMN
9,2018,Non-woody dicots,0.0273,0.0073,0.2,0.1730,Nov-18,BMN
9,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
9,2018,Dead,59.03,21.99,0.2,405.1000,Nov-18,BMN
10,2018,Fescue,57.04,47.9,0.2,524.7000,Nov-18,BMN
10,2018,Non-fescue monocots,2.0621,4.0483,0.2,30.5520,Nov-18,BMN
10,2018,Non-woody dicots,3.5836,0.7107,0.2,21.4715,Nov-18,BMN
10,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
10,2018,Dead,18.53,24.33,0.2,214.3000,Nov-18,BMN
11,2018,Fescue,69.09,79.34,0.2,742.1500,Nov-18,BMN
11,2018,Non-fescue monocots,6.56,9.07,0.2,78.1500,Nov-18,BMN
11,2018,Non-woody dicots,0,0.0283,0.2,0.1415,Nov-18,BMN
11,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
11,2018,Dead,23.18,53.21,0.2,381.9500,Nov-18,BMN
12,2018,Fescue,33.04,48.74,0.2,408.9000,Nov-18,BMN
12,2018,Non-fescue monocots,7.63,10.26,0.2,89.4500,Nov-18,BMN
12,2018,Non-woody dicots,0.6179,0.085,0.2,3.5145,Nov-18,BMN
12,2018,Woody dicots,0,0.0715,0.2,0.3575,Nov-18,BMN
12,2018,Dead,28.82,32.64,0.2,307.3000,Nov-18,BMN
13,2018,Fescue,13.33,26.87,0.2,201.0000,Nov-18,BMN
13,2018,Non-fescue monocots,3.083,25.93,0.2,145.0650,Nov-18,BMN
13,2018,Non-woody dicots,0,0.0986,0.2,0.4930,Nov-18,BMN
13,2018,Woody dicots,10.78,3.6426,0.2,72.1130,Nov-18,BMN
13,2018,Dead,15.87,58.15,0.2,370.1000,Nov-18,BMN
14,2018,Fescue,30.82,50.47,0.2,406.4500,Nov-18,BMN
14,2018,Non-fescue monocots,32.11,15.92,0.2,240.1500,Nov-18,BMN
14,2018,Non-woody dicots,0.0141,0.5463,0.2,2.8020,Nov-18,BMN
14,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
14,2018,Dead,23.31,32.62,0.2,279.6500,Nov-18,BMN
15,2018,Fescue,25.36,53.07,0.2,392.1500,Nov-18,BMN
15,2018,Non-fescue monocots,8.25,20.78,0.2,145.1500,Nov-18,BMN
15,2018,Non-woody dicots,0.1672,0.2474,0.2,2.0730,Nov-18,BMN
15,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
15,2018,Dead,14.69,16.77,0.2,157.3000,Nov-18,BMN
16,2018,Fescue,49.61,49.31,0.2,494.6000,Nov-18,BMN
16,2018,Non-fescue monocots,1.5822,3.296,0.2,24.3910,Nov-18,BMN
16,2018,Non-woody dicots,1.3553,0.9034,0.2,11.2935,Nov-18,BMN
16,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
16,2018,Dead,17.41,20.84,0.2,191.2500,Nov-18,BMN
17,2018,Fescue,17.81,43.39,0.2,306.0000,Nov-18,BMN
17,2018,Non-fescue monocots,2.9873,5.7416,0.2,43.6445,Nov-18,BMN
17,2018,Non-woody dicots,10.16,1.0236,0.2,55.9180,Nov-18,BMN
17,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
17,2018,Dead,19.4708,20.06,0.2,197.6540,Nov-18,BMN
18,2018,Fescue,50.61,40.7,0.2,456.5500,Nov-18,BMN
18,2018,Non-fescue monocots,8.6,1.66,0.2,51.3000,Nov-18,BMN
18,2018,Non-woody dicots,0.0064,0.2778,0.2,1.4210,Nov-18,BMN
18,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
18,2018,Dead,22.31,30.6,0.2,264.5500,Nov-18,BMN
19,2018,Fescue,69.78,52.72,0.2,612.5000,Nov-18,BMN
19,2018,Non-fescue monocots,9.48,16.34,0.2,129.1000,Nov-18,BMN
19,2018,Non-woody dicots,0.001,0,0.2,0.0050,Nov-18,BMN
19,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
19,2018,Dead,11.6031,3.0549,0.2,73.2900,Nov-18,BMN
20,2018,Fescue,21.98,64.61,0.2,432.9500,Nov-18,BMN
20,2018,Non-fescue monocots,0.3692,2.0999,0.2,12.3455,Nov-18,BMN
20,2018,Non-woody dicots,0.0211,0.1765,0.2,0.9880,Nov-18,BMN
20,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
20,2018,Dead,5.67,14.02,0.2,98.4500,Nov-18,BMN
21,2018,Fescue,46.68,104.66,0.2,756.7000,Nov-18,BMN
21,2018,Non-fescue monocots,5.54,0.5202,0.2,30.3010,Nov-18,BMN
21,2018,Non-woody dicots,0.0102,0,0.2,0.0510,Nov-18,BMN
21,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
21,2018,Dead,17.24,62.11,0.2,396.7500,Nov-18,BMN
22,2018,Fescue,41.64,63.27,0.2,524.5500,Nov-18,BMN
22,2018,Non-fescue monocots,1.3378,4.3825,0.2,28.6015,Nov-18,BMN
22,2018,Non-woody dicots,0.0132,0,0.2,0.0660,Nov-18,BMN
22,2018,Woody dicots,0,0.0564,0.2,0.2820,Nov-18,BMN
22,2018,Dead,37.28,43.65,0.2,404.6500,Nov-18,BMN
23,2018,Fescue,24.73,29.85,0.2,272.9000,Nov-18,BMN
23,2018,Non-fescue monocots,15.11,1.1643,0.2,81.3715,Nov-18,BMN
23,2018,Non-woody dicots,0,0.0654,0.2,0.3270,Nov-18,BMN
23,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
23,2018,Dead,20.77,19.3,0.2,200.3500,Nov-18,BMN
24,2018,Fescue,18.23,53.56,0.2,358.9500,Nov-18,BMN
24,2018,Non-fescue monocots,2.0841,3.075,0.2,25.7955,Nov-18,BMN
24,2018,Non-woody dicots,0.1718,39.96,0.2,200.6590,Nov-18,BMN
24,2018,Woody dicots,15.03,0,0.2,75.1500,Nov-18,BMN
24,2018,Dead,23.73,19.66,0.2,216.9500,Nov-18,BMN
25,2018,Fescue,22.95,54.49,0.2,387.2000,Nov-18,BMN
25,2018,Non-fescue monocots,0.8153,1.6,0.2,12.0765,Nov-18,BMN
25,2018,Non-woody dicots,0.0511,0.2362,0.2,1.4365,Nov-18,BMN
25,2018,Woody dicots,1.5458,0,0.2,7.7290,Nov-18,BMN
25,2018,Dead,17.06,42.59,0.2,298.2500,Nov-18,BMN
26,2018,Fescue,16.61,26.75,0.2,216.8000,Nov-18,BMN
26,2018,Non-fescue monocots,1.396,3.3075,0.2,23.5175,Nov-18,BMN
26,2018,Non-woody dicots,0,0.017,0.2,0.0850,Nov-18,BMN
26,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
26,2018,Dead,18.33,24.25,0.2,212.9000,Nov-18,BMN
27,2018,Fescue,80.72,56.64,0.2,686.8000,Nov-18,BMN
27,2018,Non-fescue monocots,0.9085,1.4184,0.2,11.6345,Nov-18,BMN
27,2018,Non-woody dicots,0.078,0.0045,0.2,0.4125,Nov-18,BMN
27,2018,Woody dicots,0,15.84,0.2,79.2000,Nov-18,BMN
27,2018,Dead,5.9693,8.1591,0.2,70.6420,Nov-18,BMN
28,2018,Fescue,64.41,62.29,0.2,633.5000,Nov-18,BMN
28,2018,Non-fescue monocots,1.4476,1.3191,0.2,13.8335,Nov-18,BMN
28,2018,Non-woody dicots,16.37,0,0.2,81.8500,Nov-18,BMN
28,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
28,2018,Dead,11.33,12.83,0.2,120.8000,Nov-18,BMN
29,2018,Fescue,8.11,11.68,0.2,98.9500,Nov-18,BMN
29,2018,Non-fescue monocots,0.4225,23.91,0.2,121.6625,Nov-18,BMN
29,2018,Non-woody dicots,0,7.99,0.2,39.9500,Nov-18,BMN
29,2018,Woody dicots,2.75,0,0.2,13.7500,Nov-18,BMN
29,2018,Dead,9.99,41.82,0.2,259.0500,Nov-18,BMN
30,2018,Fescue,12.01,21.24,0.2,166.2500,Nov-18,BMN
30,2018,Non-fescue monocots,1.9065,0.1331,0.2,10.1980,Nov-18,BMN
30,2018,Non-woody dicots,0.0708,0.0131,0.2,0.4195,Nov-18,BMN
30,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
30,2018,Dead,10.41,14.75,0.2,125.8000,Nov-18,BMN
31,2018,Fescue,56.89,30.93,0.2,439.1000,Nov-18,BMN
31,2018,Non-fescue monocots,0.0806,0.84,0.2,4.6030,Nov-18,BMN
31,2018,Non-woody dicots,0.0113,0.0051,0.2,0.0820,Nov-18,BMN
31,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
31,2018,Dead,21.06,33.89,0.2,274.7500,Nov-18,BMN
32,2018,Fescue,33.22,30.25,0.2,317.3500,Nov-18,BMN
32,2018,Non-fescue monocots,1.53,0.2917,0.2,9.1085,Nov-18,BMN
32,2018,Non-woody dicots,0.0626,0.8532,0.2,4.5790,Nov-18,BMN
32,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
32,2018,Dead,14.11,14.81,0.2,144.6000,Nov-18,BMN
33,2018,Fescue,67.86,29.79,0.2,488.2500,Nov-18,BMN
33,2018,Non-fescue monocots,0.0369,64.46,0.2,322.4845,Nov-18,BMN
33,2018,Non-woody dicots,0.0004,0,0.2,0.0020,Nov-18,BMN
33,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
33,2018,Dead,9.55,21.96,0.2,157.5500,Nov-18,BMN
34,2018,Fescue,43.05,37.88,0.2,404.6500,Nov-18,BMN
34,2018,Non-fescue monocots,2.2614,2.4051,0.2,23.3325,Nov-18,BMN
34,2018,Non-woody dicots,0.9815,0.0125,0.2,4.9700,Nov-18,BMN
34,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
34,2018,Dead,43.62,59.31,0.2,514.6500,Nov-18,BMN
35,2018,Fescue,34.2,43.29,0.2,387.4500,Nov-18,BMN
35,2018,Non-fescue monocots,0.888,0.67,0.2,7.7900,Nov-18,BMN
35,2018,Non-woody dicots,0.0047,0.0559,0.2,0.3030,Nov-18,BMN
35,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
35,2018,Dead,41.08,36.84,0.2,389.6000,Nov-18,BMN
36,2018,Fescue,63.11,42.03,0.2,525.7000,Nov-18,BMN
36,2018,Non-fescue monocots,2.43,1.35,0.2,18.9000,Nov-18,BMN
36,2018,Non-woody dicots,0.0017,0.0163,0.2,0.0900,Nov-18,BMN
36,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
36,2018,Dead,38.61,29,0.2,338.0500,Nov-18,BMN
37,2018,Fescue,42.22,63.73,0.2,529.7500,Nov-18,BMN
37,2018,Non-fescue monocots,1.1449,1.0671,0.2,11.0600,Nov-18,BMN
37,2018,Non-woody dicots,0.5853,0.9922,0.2,7.8875,Nov-18,BMN
37,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
37,2018,Dead,67.58,59.77,0.2,636.7500,Nov-18,BMN
38,2018,Fescue,37.47,40.23,0.2,388.5000,Nov-18,BMN
38,2018,Non-fescue monocots,0.1233,0.4331,0.2,2.7820,Nov-18,BMN
38,2018,Non-woody dicots,1.4439,15.29,0.2,83.6695,Nov-18,BMN
38,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
38,2018,Dead,18.66,26.4,0.2,225.3000,Nov-18,BMN
39,2018,Fescue,51.16,55.09,0.2,531.2500,Nov-18,BMN
