Plot,Biomass.category,Strip1.biomass(kg),Strip2.biomass(kg),Total.ovendried.weight(Kg),harvested.area(m^2),Plot.biomass(g/m^2),Date.harvested,Weighed By,Notes,Bag,
1,Everything,0.0558,0.0650,0.1208,0.2,604.00,25-Nov-19,JDL,,"S1 bag 4, S2 bag 3",
2,Everything,0.1102,0.1262,0.2364,0.2,1182.00,25-Nov-19,JDL,,"S1 bag 1, S2 bag 2",
3,Everything,0.1696,0.2942,0.4638,0.2,2319.00,25-Nov-19,JDL,,"S1 bag 1, S2 bag 1 ",
4,Everything,0.1012,0.1884,0.2896,0.2,1448.00,25-Nov-19,JDL,,"S1 bag 3, S2 bag 1",
5,Everything,0.3020,0.1338,0.4358,0.2,2179.00,25-Nov-19,JDL,,"S1 bag 3, S2 bag 2",
6,Everything,0.1130,0.1316,0.2446,0.2,1223.00,25-Nov-19,JDL,,"S1 bag 2, S2 bag 1",
7,Everything,0.1096,0.1060,0.2156,0.2,1078.00,25-Nov-19,JDL,,"S1 bag 2, S2 bag 1",
8,Everything,0.1428,0.1634,0.3062,0.2,1531.00,25-Nov-19,JDL,,2,
9,Everything,0.1938,0.1318,0.3256,0.2,1628.00,25-Nov-19,JDL,,"S1 bag 3, S2 bag 1",
10,Everything,0.1552,0.1462,0.3014,0.2,1507.00,25-Nov-19,JDL,,"S1 bag 3, S2 bag 1",
11,Everything,0.2106,0.1850,0.3956,0.2,1978.00,25-Nov-19,JDL,,"S1 bag 2, S2 bag 3",
12,Everything,0.1110,0.1010,0.2120,0.2,1060.00,25-Nov-19,JDL,,"S1 bag 2, S2 bag 1",
13,Everything,0.1372,0.1756,0.3128,0.2,1564.00,25-Nov-19,JDL,,2,
14,Everything,0.1042,0.0862,0.1904,0.2,952.00,25-Nov-19,JDL,"bags originally labeled as bag 14, along with the bags from plot ""15"". 4 bags were found labeled as plot 14 - one set of strips is the true plot 14 and one set of strips should be plot 15. With support from plot composition data, we concluded that samples in this line are the true plot 14. In addition to these bags being collected by Brooklynn, senesced seed heads of verbesina occidentalis were found in a bag from this set, while not in the other set of bags. Composition data showed that the true plot 14 had more of this species present in the plot and was thus more likely to be collected as biomass. ",2,
15,Everything,0.1260,0.0886,0.2146,0.2,1073.00,25-Nov-19,JDL,"bags originally mislabeled as plot ""14"". 4 bags were found labeled as plot 14 - one set of strips is the true plot 14 and one set of strips should be plot 15. With support from plot composition data, we concluded that samples in this line are from plot 15. Composition data from the plots showed that the true plot 15 had a lower % of species Verbesina occidentalis in it than plot 14. No seed heads of Verbesina were found in this set of bags, while they were found in one of the bags determined to be the true plot 14"". Additionally, this set of bags was collected by a field technician and more likely to be mislabeled.. ",2,
16,Everything,0.1192,0.1386,0.2578,0.2,1289.00,25-Nov-19,JDL,,"S1 bag 2, S2 bag 1",
17,Everything,0.1310,0.1394,0.2704,0.2,1352.00,21-Nov-19,JDL,,"S1 bag 10, S2 bag 6",
18,Everything,0.1320,0.1158,0.2478,0.2,1239.00,21-Nov-19,JDL,,"S1 bag 6, S2 bag 4",
19,Everything,0.1418,0.1426,0.2844,0.2,1422.00,21-Nov-19,JDL,,"S1 bag 9, S2 bag 3",
20,Everything,0.0836,0.0728,0.1564,0.2,782.00,21-Nov-19,JDL,,6,
21,Everything,0.1338,0.1468,0.2806,0.2,1403.00,21-Nov-19,JDL,,7,
22,Everything,0.1472,0.1272,0.2744,0.2,1372.00,21-Nov-19,JDL,,5,
23,Everything,0.0844,0.1018,0.1862,0.2,931.00,21-Nov-19,JDL,,"S1 bag 4, S2 bag 6",
24,Everything,0.1582,0.1078,0.2660,0.2,1330.00,21-Nov-19,JDL,,6,
25,Everything,0.1474,0.1230,0.2704,0.2,1352.00,21-Nov-19,JDL,,"S1 bag 8, S2 bag 9",
26,Everything,0.1414,0.1834,0.3248,0.2,1624.00,21-Nov-19,JDL,,"S1 bag 6, S2 bag 8",
27,Everything,0.1992,0.0826,0.2818,0.2,1409.00,21-Nov-19,JDL,,"S1 bag 5, S2 bag 6",
28,Everything,0.0834,0.1092,0.1926,0.2,963.00,21-Nov-19,JDL,,"S1 bag 9, S2 bag 5",
29,Everything,0.1948,0.1158,0.3106,0.2,1553.00,21-Nov-19,JDL,,"S1 bag 8, S2 bag 7",
30,Everything,0.0806,0.0880,0.1686,0.2,843.00,21-Nov-19,JDL,,"S1 bag 8, S2 bag 9",
31,Everything,0.0984,0.1656,0.2640,0.2,1320.00,21-Nov-19,JDL,,"S1 bag 7, S2 bag 10",
32,Everything,0.1344,0.1598,0.2942,0.2,1471.00,21-Nov-19,JDL,,"S1 bag 9, S2 bag 6",
33,Everything,0.1378,0.1174,0.2552,0.2,1276.00,21-Nov-19,JDL,,4,
