"","Treat","Plot","Year","Trt.num","Spray_frequency","NMDS1","NMDS2"
"1","C->R->P","1","2017",2,"Never",-0.0684053574660394,-0.0140931340175104
"2","C->R->P","1","2018",2,"Never",-0.389123064236089,-0.0670941183515184
"3","C->R->P","1","2019",2,"Never",-0.00396700395130994,0.0726822559750629
"4","C->R->P","62","2019",2,"Never",-0.167558318655125,1.09446905993311
"5","C->R->P","63","2017",2,"Never",-0.0451745050809466,-0.00418306011697267
"6","C->R->P","23","2017",2,"Never",-0.077803602416511,-0.0150606273525712
"7","C->R->P","23","2018",2,"Never",-0.163417875779367,-0.0778624090820466
"8","C->R->P","23","2019",2,"Never",0.00985633816271557,-0.0658629588390484
"9","C->R->P","16","2017",2,"Never",-0.115881928902355,-0.0270615660345433
"10","C->R->P","12","2017",2,"Never",-0.0874635767817033,-0.0418090452395111
"11","C->R->P","12","2018",2,"Never",-0.16590169874957,-0.175437642628553
"12","C->R->P","12","2019",2,"Never",-0.0117060544176633,-0.307261501186693
"13","C->R->P","13","2017",2,"Never",-0.0137032801215953,-0.016667078045985
"14","C->R->P","13","2018",2,"Never",0.161552134918739,-0.109789362103966
"15","C->R->P","13","2019",2,"Never",0.475509079191386,-0.406114329211773
"16","C->R->P","38","2019",2,"Never",-0.0922625534949857,0.00784936471174838
"17","C->R->P","30","2017",2,"Never",0.0348138391329539,0.0418450916934651
"18","C->R->P","30","2018",2,"Never",0.240029137195929,0.0331824620026599
"19","C->R->P","63","2018",2,"Never",-0.143347339305917,-0.000295302275709051
"20","C->R->P","63","2019",2,"Never",-0.1012539645803,0.00171470737627808
"21","C->R->P","29","2018",2,"Never",-0.721727375068964,-0.263274398138664
"22","C->R->P","44","2017",2,"Never",-0.0959307356661811,-0.0218011641541901
"23","C->R->P","16","2018",2,"Never",-0.138553754695904,-0.111029434728169
"24","C->R->P","16","2019",2,"Never",-0.0924323103513506,-0.147774100488724
"25","C->R->P","54","2018",2,"Never",-0.307920976164901,0.204482550167991
"26","C->R->P","29","2019",2,"Never",-0.0312128410523645,0.0534983849986488
"27","C->R->P","7","2019",2,"Never",0.0274752285296692,-0.167075519653957
"28","C->R->P","54","2017",2,"Never",-0.0858230085146924,-0.0205773264653622
"29","C->R->P","55","2019",2,"Never",-0.0781513911121885,0.183816793271921
"30","C->R->P","46","2019",2,"Never",0.06376626766229,-0.0502951720333605
"31","C->R->P","54","2019",2,"Never",-0.145605552472656,0.326045333349664
"32","C->R->P","30","2019",2,"Never",0.0903453198931359,0.0175448084002923
"33","C->R->P","20","2017",2,"Never",-0.0884713713685503,-0.02262245379046
"34","C->R->P","20","2018",2,"Never",-0.205229302971526,-0.395791474203239
"35","C->R->P","20","2019",2,"Never",-0.113180317604864,-0.204891340134836
"36","C->R->P","44","2018",2,"Never",-0.28931498392445,-0.090724250865483
"37","C->R->P","46","2017",2,"Never",-0.0884888453685599,-0.00866652756381056
"38","C->R->P","46","2018",2,"Never",-0.240805330604891,-0.0773566633324041
"39","C->R->P","62","2018",2,"Never",-0.260556121163125,0.390382577597095
"40","C->R->P","7","2018",2,"Never",-0.00809451923859333,-0.179007330306854
"41","C->R->P","55","2017",2,"Never",-0.0738217036231449,-0.00574529532301382
"42","C->R->P","55","2018",2,"Never",-0.333059593632952,-0.0281837056698997
"43","C->R->P","29","2017",2,"Never",-0.0660541213892188,-0.0189354907118115
"44","C->R->P","62","2017",2,"Never",-0.0718568798251384,-0.000668687506602723
"45","C->R->P","7","2017",2,"Never",-0.0693218733003176,-0.0218505718561335
"46","C->R->P","38","2017",2,"Never",-0.0646186399394581,-0.00842721354480958
"47","C->R->P","38","2018",2,"Never",-0.241106976698918,0.0566572771478557
"48","C->R->P","44","2019",2,"Never",-0.0828089899630006,0.100049794743164
"49","Control","4","2018",1,"Always",0.193517351669735,-0.161797981700523
"50","Control","31","2018",1,"Always",0.0237395545875216,-0.209564151976104
"51","Control","11","2019",1,"Always",-0.00741165548036717,-0.0899333373688408
"52","Control","53","2019",1,"Always",-0.112090763373906,0.0301180306208887
"53","Control","36","2018",1,"Always",-0.186929899183569,-0.0464743712179963
"54","Control","36","2019",1,"Always",-0.0934846231143307,-0.048352664604676
"55","Control","11","2017",1,"Always",-0.074906273576514,-0.0160644321136501
"56","Control","10","2018",1,"Always",0.292172440974346,-0.0794310767854746
"57","Control","21","2017",1,"Always",-0.0731156459081852,-0.0191999321167957
"58","Control","22","2019",1,"Always",-0.0485687804792221,-0.064084670860121
"59","Control","10","2019",1,"Always",4.18245251313919,-0.0793499201539238
"60","Control","11","2018",1,"Always",-0.0882466135139782,-0.183265395996997
"61","Control","22","2018",1,"Always",-0.0959546917554381,-0.0451755040518032
"62","Control","4","2019",1,"Always",0.0256748753794709,-0.0962766566016292
"63","Control","40","2017",1,"Always",-0.0757617257092813,-0.0185287824064477
"64","Control","4","2017",1,"Always",-0.0452394101462742,-0.034877853999794
"65","Control","43","2019",1,"Always",-0.0910232901534484,-0.0212257414661854
"66","Control","57","2019",1,"Always",-0.0651569657699805,0.430384841555284
"67","Control","53","2018",1,"Always",-0.389444905345557,0.370601071712361
"68","Control","21","2018",1,"Always",-0.127055301535587,-0.0283973524086298
"69","Control","10","2017",1,"Always",-0.0829262315788679,-0.0308613629205653
"70","Control","50","2018",1,"Always",-0.136056315503822,0.0796628076337682
"71","Control","50","2019",1,"Always",-0.078532778217281,-0.0183654733555541
"72","Control","59","2019",1,"Always",-0.116547788784646,0.0838754493898192
"73","Control","19","2019",1,"Always",-0.0534941101393224,-0.143924825667744
"74","Control","31","2017",1,"Always",-0.0280095314022145,-0.0573074521934292
"75","Control","31","2019",1,"Always",-0.0335265144475475,-0.0695156209925622
"76","Control","56","2019",1,"Always",-0.0892974753722847,0.0103368506563819
"77","Control","52","2018",1,"Always",-0.201419559640801,-0.139315759430618
"78","Control","57","2018",1,"Always",-0.295401231053028,0.750728234756829
"79","Control","40","2019",1,"Always",-0.105576483094499,0.0098724554490337
"80","Control","53","2017",1,"Always",-0.0682066179136787,-0.00451828910286373
"81","Control","19","2017",1,"Always",-0.0634475693786391,-0.0193151893402822
"82","Control","21","2019",1,"Always",-0.0817533134522977,-0.019935031964986
"83","Control","22","2017",1,"Always",-0.0752104230217948,-0.0156088236879293
"84","Control","59","2018",1,"Always",-0.191504697097133,0.030899057118494
"85","Control","52","2017",1,"Always",-0.0499958173459431,0.0260250283968924
"86","Control","19","2018",1,"Always",-0.105524761139907,-0.104122059935462
"87","Control","43","2017",1,"Always",-0.0802325370214282,-0.0145125889358673
"88","Control","36","2017",1,"Always",-0.0741523232278647,-0.0189033854284892
"89","Control","52","2019",1,"Always",-0.110024233539843,-0.0876416042768497
"90","Control","56","2018",1,"Always",0.4614004728655,0.526135178772564
"91","Control","57","2017",1,"Always",-0.0899893411837598,0.0458018179772518
"92","Control","40","2018",1,"Always",-0.123344546223144,-0.0256409811495918
"93","Control","59","2017",1,"Always",-0.0415973097714115,0.0117337918015858
"94","Control","43","2018",1,"Always",-0.114879362256287,-0.0125351581559715
"95","Control","50","2017",1,"Always",-0.0688369870686007,-0.0162517696119151
"96","Control","56","2017",1,"Always",-0.0604978852593376,-0.00399414992839482
"97","CR->P","18","2018",3,"Rhiz_epi",0.0478013452615148,-0.270021215771657
"98","CR->P","37","2017",3,"Rhiz_epi",-0.0773750407189922,-0.0185761285140234
"99","CR->P","35","2018",3,"Rhiz_epi",-0.164334061446508,-0.0414521748448691
"100","CR->P","15","2019",3,"Rhiz_epi",0.0213468041142371,-0.110875936796515
"101","CR->P","18","2017",3,"Rhiz_epi",-0.0944435787639167,-0.0272587142274022
"102","CR->P","25","2019",3,"Rhiz_epi",-0.0746187450665762,-0.129393652945255
"103","CR->P","2","2019",3,"Rhiz_epi",-0.0866839092677635,-0.0148976438294712
"104","CR->P","25","2017",3,"Rhiz_epi",-0.0718710459339431,-0.017397797656202
"105","CR->P","25","2018",3,"Rhiz_epi",-0.165317546464617,-0.141359804176408
"106","CR->P","15","2017",3,"Rhiz_epi",-0.0713872277516691,-0.0238124184394834
"107","CR->P","61","2018",3,"Rhiz_epi",-0.170471473966314,0.524657620491822
"108","CR->P","61","2019",3,"Rhiz_epi",-0.0929828053084291,1.27639851323029
"109","CR->P","34","2017",3,"Rhiz_epi",-0.0764546473452283,-0.0197169818103508
"110","CR->P","17","2019",3,"Rhiz_epi",0.0296269890018764,-0.12425550361403
"111","CR->P","14","2019",3,"Rhiz_epi",0.225522290365846,-0.256680571203163
"112","CR->P","39","2019",3,"Rhiz_epi",-0.0980612923572918,-0.0104102818256495
"113","CR->P","35","2019",3,"Rhiz_epi",-0.0841938230143549,-0.0234470726204785
"114","CR->P","14","2018",3,"Rhiz_epi",0.196947493920914,-0.296613556497523
"115","CR->P","6","2019",3,"Rhiz_epi",0.0146127028449202,-0.108383426601608
"116","CR->P","28","2018",3,"Rhiz_epi",-0.129627006250148,-0.170111352046381
"117","CR->P","28","2019",3,"Rhiz_epi",-0.109484093932906,-0.328509941146482
