"","Year","Month","Treatment","Plot","prevalence_within_plot","total_leaves","total_infected"
"1","17","August","Always_sprayed","4",0.333333333333333,57,19
"2","17","August","Always_sprayed","10",0.368421052631579,57,21
"3","17","August","Always_sprayed","11",0.274193548387097,62,17
"4","17","August","Always_sprayed","19",0.203389830508475,59,12
"5","17","August","Always_sprayed","21",0.365079365079365,63,23
"6","17","August","Always_sprayed","22",0.410958904109589,73,30
"7","17","August","Always_sprayed","31",0.142857142857143,56,8
"8","17","August","Always_sprayed","36",0.109090909090909,55,6
"9","17","August","Always_sprayed","40",0.107142857142857,56,6
"10","17","August","Always_sprayed","43",0.333333333333333,60,20
"11","17","August","Always_sprayed","50",0.333333333333333,60,20
"12","17","August","Always_sprayed","52",0.196428571428571,56,11
"13","17","August","Always_sprayed","53",0.615384615384615,52,32
"14","17","August","Always_sprayed","56",0.233333333333333,60,14
"15","17","August","Always_sprayed","57",0.58,50,29
"16","17","August","Always_sprayed","59",0.326530612244898,49,16
"17","17","August","Control","1",0.719298245614035,57,41
"18","17","August","Control","7",0.678571428571429,56,38
"19","17","August","Control","12",0.706896551724138,58,41
"20","17","August","Control","13",0.686274509803922,51,35
"21","17","August","Control","16",0.622641509433962,53,33
"22","17","August","Control","20",0.719298245614035,57,41
"23","17","August","Control","23",0.73134328358209,67,49
"24","17","August","Control","29",0.716981132075472,53,38
"25","17","August","Control","30",0.769230769230769,52,40
"26","17","August","Control","38",0.811320754716981,53,43
"27","17","August","Control","44",0.736842105263158,57,42
"28","17","August","Control","46",0.701754385964912,57,40
"29","17","August","Control","54",0.763636363636364,55,42
"30","17","August","Control","55",0.703703703703704,54,38
"31","17","August","Control","62",0.666666666666667,54,36
"32","17","August","Control","63",0.688888888888889,45,31
"33","17","August","CR_P","2",0.517857142857143,56,29
"34","17","August","CR_P","6",0.491228070175439,57,28
"35","17","August","CR_P","14",0.578947368421053,57,33
"36","17","August","CR_P","15",0.446428571428571,56,25
"37","17","August","CR_P","17",0.62962962962963,54,34
"38","17","August","CR_P","18",0.625,56,35
"39","17","August","CR_P","25",0.6,65,39
"40","17","August","CR_P","26",0.696969696969697,66,46
"41","17","August","CR_P","28",0.377049180327869,61,23
"42","17","August","CR_P","34",0.264150943396226,53,14
"43","17","August","CR_P","35",0.452830188679245,53,24
"44","17","August","CR_P","37",0.576271186440678,59,34
"45","17","August","CR_P","39",0.43859649122807,57,25
"46","17","August","CR_P","47",0.516666666666667,60,31
"47","17","August","CR_P","51",0.661016949152542,59,39
"48","17","August","CR_P","61",0.648148148148148,54,35
"49","17","August","CRP","3",0.362068965517241,58,21
"50","17","August","CRP","5",0.368421052631579,57,21
"51","17","August","CRP","8",0.327586206896552,58,19
"52","17","August","CRP","9",0.345454545454545,55,19
"53","17","August","CRP","24",0.435483870967742,62,27
"54","17","August","CRP","27",0.491803278688525,61,30
"55","17","August","CRP","32",0.258620689655172,58,15
"56","17","August","CRP","33",0.288135593220339,59,17
"57","17","August","CRP","41",0.593220338983051,59,35
"58","17","August","CRP","42",0.283333333333333,60,17
"59","17","August","CRP","45",0.362068965517241,58,21
"60","17","August","CRP","48",0.245901639344262,61,15
"61","17","August","CRP","49",0.345454545454545,55,19
"62","17","August","CRP","58",0.259259259259259,54,14
"63","17","August","CRP","60",0.163636363636364,55,9
"64","17","August","CRP","64",0.285714285714286,56,16
"65","17","July","Always_sprayed","4",0.46,50,23
"66","17","July","Always_sprayed","10",0.518518518518518,54,28
"67","17","July","Always_sprayed","11",0.566037735849057,53,30
"68","17","July","Always_sprayed","19",0.327272727272727,55,18
"69","17","July","Always_sprayed","21",0.4,55,22
"70","17","July","Always_sprayed","22",0.326923076923077,52,17
"71","17","July","Always_sprayed","31",0.5,60,30
"72","17","July","Always_sprayed","36",0.559322033898305,59,33
"73","17","July","Always_sprayed","40",0.5,56,28
"74","17","July","Always_sprayed","43",0.490909090909091,55,27
"75","17","July","Always_sprayed","50",0.584905660377358,53,31
"76","17","July","Always_sprayed","52",0.564516129032258,62,35
"77","17","July","Always_sprayed","53",0.627118644067797,59,37
"78","17","July","Always_sprayed","56",0.584905660377358,53,31
"79","17","July","Always_sprayed","57",0.648148148148148,54,35
"80","17","July","Always_sprayed","59",0.537037037037037,54,29
"81","17","July","Control","1",0.711538461538462,52,37
"82","17","July","Control","7",0.666666666666667,51,34
"83","17","July","Control","12",0.759259259259259,54,41
"84","17","July","Control","13",0.672727272727273,55,37
"85","17","July","Control","16",0.685185185185185,54,37
"86","17","July","Control","20",0.648148148148148,54,35
"87","17","July","Control","23",0.649122807017544,57,37
"88","17","July","Control","29",0.736842105263158,57,42
"89","17","July","Control","30",0.677966101694915,59,40
"90","17","July","Control","38",0.75,56,42
"91","17","July","Control","44",0.631578947368421,57,36
"92","17","July","Control","46",0.830188679245283,53,44
"93","17","July","Control","54",0.736842105263158,57,42
"94","17","July","Control","55",0.741379310344828,58,43
"95","17","July","Control","62",0.758620689655172,58,44
"96","17","July","Control","63",0.759259259259259,54,41
"97","17","July","CR_P","2",0.408163265306122,49,20
"98","17","July","CR_P","6",0.490196078431373,51,25
"99","17","July","CR_P","14",0.547169811320755,53,29
"100","17","July","CR_P","15",0.433962264150943,53,23
"101","17","July","CR_P","17",0.481481481481481,54,26
"102","17","July","CR_P","18",0.346153846153846,52,18
"103","17","July","CR_P","25",0.676470588235294,68,46
"104","17","July","CR_P","26",0.672131147540984,61,41
"105","17","July","CR_P","28",0.587301587301587,63,37
"106","17","July","CR_P","34",0.673076923076923,52,35
"107","17","July","CR_P","35",0.566037735849057,53,30
"108","17","July","CR_P","37",0.672413793103448,58,39
"109","17","July","CR_P","39",0.528301886792453,53,28
"110","17","July","CR_P","47",0.547169811320755,53,29
"111","17","July","CR_P","51",0.525423728813559,59,31
"112","17","July","CR_P","61",0,52,0
"113","17","July","CRP","3",0.56,50,28
"114","17","July","CRP","5",0.352941176470588,51,18
"115","17","July","CRP","8",0.479166666666667,48,23
"116","17","July","CRP","9",0.44,50,22
"117","17","July","CRP","24",0.381818181818182,55,21
"118","17","July","CRP","27",0.603448275862069,58,35
"119","17","July","CRP","32",0.597014925373134,67,40
"120","17","July","CRP","33",0.690909090909091,55,38
"121","17","July","CRP","41",0.622641509433962,53,33
"122","17","July","CRP","42",0.592592592592593,54,32
"123","17","July","CRP","45",0.660377358490566,53,35
"124","17","July","CRP","48",0.563636363636364,55,31
"125","17","July","CRP","49",0.62962962962963,54,34
"126","17","July","CRP","58",0.559322033898305,59,33
"127","17","July","CRP","60",0.462962962962963,54,25
"128","17","July","CRP","64",0.415094339622642,53,22
"129","17","June","Always_sprayed","4",0.5,46,23
"130","17","June","Always_sprayed","10",0.576923076923077,52,30
"131","17","June","Always_sprayed","11",0.446428571428571,56,25
"132","17","June","Always_sprayed","19",0.555555555555556,54,30
"133","17","June","Always_sprayed","21",0.545454545454545,44,24
"134","17","June","Always_sprayed","22",0.488888888888889,45,22
"135","17","June","Always_sprayed","31",0.490566037735849,53,26
"136","17","June","Always_sprayed","36",0.551020408163265,49,27
"137","17","June","Always_sprayed","40",0.6,50,30
"138","17","June","Always_sprayed","43",0.609756097560976,41,25
"139","17","June","Always_sprayed","50",0.508771929824561,57,29
"140","17","June","Always_sprayed","52",0.596153846153846,52,31
"141","17","June","Always_sprayed","53",0.566037735849057,53,30
"142","17","June","Always_sprayed","56",0.589285714285714,56,33
"143","17","June","Always_sprayed","57",0.648148148148148,54,35
"144","17","June","Always_sprayed","59",0.653846153846154,52,34
"145","17","June","Control","1",0.659574468085106,47,31
"146","17","June","Control","7",0.653061224489796,49,32
"147","17","June","Control","12",0.666666666666667,54,36
"148","17","June","Control","13",0.641509433962264,53,34
"149","17","June","Control","16",0.692307692307692,52,36
"150","17","June","Control","20",0.647058823529412,51,33
"151","17","June","Control","23",0.692307692307692,52,36
"152","17","June","Control","29",0.634615384615385,52,33
"153","17","June","Control","30",0.702127659574468,47,33
"154","17","June","Control","38",0.591836734693878,49,29
"155","17","June","Control","44",0.622222222222222,45,28
"156","17","June","Control","46",0.625,48,30
"157","17","June","Control","54",0.658536585365854,41,27
"158","17","June","Control","55",0.693877551020408,49,34
"159","17","June","Control","62",0.522727272727273,44,23
"160","17","June","Control","63",0.558139534883721,43,24
"161","17","June","CR_P","2",0.489795918367347,49,24
"162","17","June","CR_P","6",0.537037037037037,54,29
"163","17","June","CR_P","14",0.588235294117647,51,30
"164","17","June","CR_P","15",0.509803921568627,51,26
"165","17","June","CR_P","17",0.470588235294118,51,24
"166","17","June","CR_P","18",0.452830188679245,53,24
"167","17","June","CR_P","25",0.596153846153846,52,31
"168","17","June","CR_P","26",0.528301886792453,53,28
"169","17","June","CR_P","28",0.480769230769231,52,25
"170","17","June","CR_P","34",0.611111111111111,54,33
"171","17","June","CR_P","35",0.425531914893617,47,20
"172","17","June","CR_P","37",0.625,48,30
"173","17","June","CR_P","39",0.563636363636364,55,31
"174","17","June","CR_P","47",0.555555555555556,45,25
"175","17","June","CR_P","51",0.62,50,31
"176","17","June","CR_P","61",0.404255319148936,47,19
"177","17","June","CRP","3",0.511111111111111,45,23
"178","17","June","CRP","5",0.545454545454545,55,30
"179","17","June","CRP","8",0.517857142857143,56,29
"180","17","June","CRP","9",0.557692307692308,52,29
"181","17","June","CRP","24",0.536585365853659,41,22
"182","17","June","CRP","27",0.592592592592593,54,32
"183","17","June","CRP","32",0.607142857142857,56,34
"184","17","June","CRP","33",0.630434782608696,46,29
"185","17","June","CRP","41",0.615384615384615,52,32
"186","17","June","CRP","42",0.531914893617021,47,25
"187","17","June","CRP","45",0.604166666666667,48,29
"188","17","June","CRP","48",0.577777777777778,45,26
"189","17","June","CRP","49",0.576923076923077,52,30
"190","17","June","CRP","58",0.62,50,31
"191","17","June","CRP","60",0.625,56,35
"192","17","June","CRP","64",0.363636363636364,44,16
"193","17","May","Always_sprayed","4",0.804878048780488,41,33
"194","17","May","Always_sprayed","10",0.738095238095238,42,31
"195","17","May","Always_sprayed","11",0.75,44,33
"196","17","May","Always_sprayed","19",0.727272727272727,55,40
"197","17","May","Always_sprayed","21",0.69047619047619,42,29
"198","17","May","Always_sprayed","22",0.688888888888889,45,31
"199","17","May","Always_sprayed","31",0.75,44,33
"200","17","May","Always_sprayed","36",0.652173913043478,46,30
"201","17","May","Always_sprayed","40",0.710526315789474,38,27
"202","17","May","Always_sprayed","43",0.736842105263158,38,28
"203","17","May","Always_sprayed","50",0.695652173913043,46,32
"204","17","May","Always_sprayed","52",0.785714285714286,42,33
"205","17","May","Always_sprayed","53",0.744186046511628,43,32
"206","17","May","Always_sprayed","56",0.723404255319149,47,34
"207","17","May","Always_sprayed","57",0.785714285714286,42,33
"208","17","May","Always_sprayed","59",0.625,40,25
"209","17","May","Control","1",0.767441860465116,43,33
"210","17","May","Control","7",0.681818181818182,44,30
"211","17","May","Control","12",0.853658536585366,41,35
"212","17","May","Control","13",0.744186046511628,43,32
"213","17","May","Control","16",0.666666666666667,42,28
"214","17","May","Control","20",0.727272727272727,44,32
"215","17","May","Control","23",0.790697674418605,43,34
"216","17","May","Control","29",0.704545454545455,44,31
"217","17","May","Control","30",0.6875,48,33
"218","17","May","Control","38",0.659090909090909,44,29
"219","17","May","Control","44",0.69047619047619,42,29
"220","17","May","Control","46",0.651162790697674,43,28
"221","17","May","Control","54",0.7,40,28
"222","17","May","Control","55",0.666666666666667,45,30
"223","17","May","Control","62",0.638297872340426,47,30
"224","17","May","Control","63",0.666666666666667,39,26
"225","17","May","CR_P","2",0.837209302325581,43,36
"226","17","May","CR_P","6",0.638297872340426,47,30
"227","17","May","CR_P","14",0.8,45,36
