"","Year","Month","Treatment","Plot","parasite","prevalence_among_plants"
"1","17","May","Always_sprayed","4","Anthracnose",0.804878048780488
"2","17","May","Always_sprayed","4","CRust",0
"3","17","May","Always_sprayed","4","Rhiz",0
"4","17","May","Always_sprayed","10","Anthracnose",0.738095238095238
"5","17","May","Always_sprayed","10","CRust",0
"6","17","May","Always_sprayed","10","Rhiz",0
"7","17","May","Always_sprayed","11","Anthracnose",0.75
"8","17","May","Always_sprayed","11","CRust",0
"9","17","May","Always_sprayed","11","Rhiz",0
"10","17","May","Always_sprayed","19","Anthracnose",0.727272727272727
"11","17","May","Always_sprayed","19","CRust",0.0181818181818182
"12","17","May","Always_sprayed","19","Rhiz",0
"13","17","May","Always_sprayed","21","Anthracnose",0.69047619047619
"14","17","May","Always_sprayed","21","CRust",0.0476190476190476
"15","17","May","Always_sprayed","21","Rhiz",0.0238095238095238
"16","17","May","Always_sprayed","22","Anthracnose",0.688888888888889
"17","17","May","Always_sprayed","22","CRust",0
"18","17","May","Always_sprayed","22","Rhiz",0
"19","17","May","Always_sprayed","31","Anthracnose",0.75
"20","17","May","Always_sprayed","31","CRust",0
"21","17","May","Always_sprayed","31","Rhiz",0
"22","17","May","Always_sprayed","36","Anthracnose",0.652173913043478
"23","17","May","Always_sprayed","36","CRust",0
"24","17","May","Always_sprayed","36","Rhiz",0.0217391304347826
"25","17","May","Always_sprayed","40","Anthracnose",0.657894736842105
"26","17","May","Always_sprayed","40","CRust",0.0526315789473684
"27","17","May","Always_sprayed","40","Rhiz",0.0263157894736842
"28","17","May","Always_sprayed","43","Anthracnose",0.736842105263158
"29","17","May","Always_sprayed","43","CRust",0
"30","17","May","Always_sprayed","43","Rhiz",0.0526315789473684
"31","17","May","Always_sprayed","50","Anthracnose",0.695652173913043
"32","17","May","Always_sprayed","50","CRust",0
"33","17","May","Always_sprayed","50","Rhiz",0
"34","17","May","Always_sprayed","52","Anthracnose",0.785714285714286
"35","17","May","Always_sprayed","52","CRust",0.0238095238095238
"36","17","May","Always_sprayed","52","Rhiz",0
"37","17","May","Always_sprayed","53","Anthracnose",0.744186046511628
"38","17","May","Always_sprayed","53","CRust",0
"39","17","May","Always_sprayed","53","Rhiz",0
"40","17","May","Always_sprayed","56","Anthracnose",0.723404255319149
"41","17","May","Always_sprayed","56","CRust",0
"42","17","May","Always_sprayed","56","Rhiz",0
"43","17","May","Always_sprayed","57","Anthracnose",0.785714285714286
"44","17","May","Always_sprayed","57","CRust",0
"45","17","May","Always_sprayed","57","Rhiz",0
"46","17","May","Always_sprayed","59","Anthracnose",0.625
"47","17","May","Always_sprayed","59","CRust",0
"48","17","May","Always_sprayed","59","Rhiz",0
"49","17","May","Control","1","Anthracnose",0.767441860465116
"50","17","May","Control","1","CRust",0
"51","17","May","Control","1","Rhiz",0.0465116279069767
"52","17","May","Control","7","Anthracnose",0.681818181818182
"53","17","May","Control","7","CRust",0
"54","17","May","Control","7","Rhiz",0
"55","17","May","Control","12","Anthracnose",0.853658536585366
"56","17","May","Control","12","CRust",0
"57","17","May","Control","12","Rhiz",0
"58","17","May","Control","13","Anthracnose",0.744186046511628
"59","17","May","Control","13","CRust",0.0465116279069767
"60","17","May","Control","13","Rhiz",0.0930232558139535
"61","17","May","Control","16","Anthracnose",0.666666666666667
"62","17","May","Control","16","CRust",0
"63","17","May","Control","16","Rhiz",0.0238095238095238
"64","17","May","Control","20","Anthracnose",0.704545454545454
"65","17","May","Control","20","CRust",0
"66","17","May","Control","20","Rhiz",0.0454545454545455
"67","17","May","Control","23","Anthracnose",0.767441860465116
"68","17","May","Control","23","CRust",0.0465116279069767
"69","17","May","Control","23","Rhiz",0.0232558139534884
"70","17","May","Control","29","Anthracnose",0.704545454545455
"71","17","May","Control","29","CRust",0
"72","17","May","Control","29","Rhiz",0.0227272727272727
"73","17","May","Control","30","Anthracnose",0.6875
"74","17","May","Control","30","CRust",0
"75","17","May","Control","30","Rhiz",0
"76","17","May","Control","38","Anthracnose",0.659090909090909
"77","17","May","Control","38","CRust",0
"78","17","May","Control","38","Rhiz",0.0227272727272727
"79","17","May","Control","44","Anthracnose",0.69047619047619
"80","17","May","Control","44","CRust",0
"81","17","May","Control","44","Rhiz",0.0476190476190476
"82","17","May","Control","46","Anthracnose",0.651162790697674
"83","17","May","Control","46","CRust",0
"84","17","May","Control","46","Rhiz",0
"85","17","May","Control","54","Anthracnose",0.7
"86","17","May","Control","54","CRust",0
"87","17","May","Control","54","Rhiz",0.025
"88","17","May","Control","55","Anthracnose",0.666666666666667
"89","17","May","Control","55","CRust",0
"90","17","May","Control","55","Rhiz",0
"91","17","May","Control","62","Anthracnose",0.638297872340426
"92","17","May","Control","62","CRust",0
"93","17","May","Control","62","Rhiz",0.0638297872340425
"94","17","May","Control","63","Anthracnose",0.666666666666667
"95","17","May","Control","63","CRust",0.0256410256410256
"96","17","May","Control","63","Rhiz",0
"97","17","May","CR_P","2","Anthracnose",0.837209302325581
"98","17","May","CR_P","2","CRust",0
"99","17","May","CR_P","2","Rhiz",0
"100","17","May","CR_P","6","Anthracnose",0.638297872340426
"101","17","May","CR_P","6","CRust",0
"102","17","May","CR_P","6","Rhiz",0
"103","17","May","CR_P","14","Anthracnose",0.8
"104","17","May","CR_P","14","CRust",0
"105","17","May","CR_P","14","Rhiz",0
"106","17","May","CR_P","15","Anthracnose",0.682926829268293
"107","17","May","CR_P","15","CRust",0
"108","17","May","CR_P","15","Rhiz",0.024390243902439
"109","17","May","CR_P","17","Anthracnose",0.644444444444444
"110","17","May","CR_P","17","CRust",0.0222222222222222
"111","17","May","CR_P","17","Rhiz",0.0222222222222222
"112","17","May","CR_P","18","Anthracnose",0.829268292682927
"113","17","May","CR_P","18","CRust",0.0487804878048781
"114","17","May","CR_P","18","Rhiz",0
"115","17","May","CR_P","25","Anthracnose",0.63265306122449
"116","17","May","CR_P","25","CRust",0
"117","17","May","CR_P","25","Rhiz",0
"118","17","May","CR_P","26","Anthracnose",0.673469387755102
"119","17","May","CR_P","26","CRust",0
