WBANNO,Year,Month_Num,Month,CRX_VN_MONTHLY,PRECISE_LONGITUDE,PRECISE_LATITUDE,T_MONTHLY_MAX,T_MONTHLY_MIN,T_MONTHLY_MEAN,T_MONTHLY_AVG,P_MONTHLY_CALC,SOLRAD_MONTHLY_AVG,SUR_TEMP_MONTHLY_TYPE,SUR_TEMP_MONTHLY_MAX,SUR_TEMP_MONTHLY_MIN,SUR_TEMP_MONTHLY_AVG
3758,2007,3,March,1.302,-79.0931,35.9705,-9999,-9999,-9999,-9999,-9999,-9999,U,-9999,-9999,-9999
3758,2007,4,April,1.302,-79.0931,35.9705,20.7,7.5,14.1,14.4,112.4,22.2,R,33.8,6,16.3
3758,2007,5,May,1.302,-79.0931,35.9705,24.9,12,18.4,18.7,41.1,23.3,R,40,12,22.1
3758,2007,6,June,1.302,-79.0931,35.9705,29,16.9,23,22.7,78.4,22.9,R,41.3,17.1,25.5
3758,2007,7,July,1.302,-79.0931,35.9705,30.6,17.8,24.2,23.8,71.9,23.1,R,46.3,17.8,27.6
3758,2007,8,August,1.302,-79.0931,35.9705,34.6,20.5,27.6,27.1,9.8,21.8,R,52.3,20.3,31.4
3758,2007,9,September,1.302,-79.0931,35.9705,29.9,15.3,22.6,22.2,25.3,19.5,R,47.6,14.7,25.9
3758,2007,10,October,1.302,-79.0931,35.9705,25.4,11.6,18.5,18.1,106.1,13.5,R,37.9,10.7,19.9
3758,2007,11,November,1.302,-79.0931,35.9705,16.1,2.6,9.3,9.2,10.2,11.4,R,25.2,1.9,9.9
3758,2007,12,December,1.302,-79.0931,35.9705,13.9,3,8.5,8.3,-9999,7.4,R,19.6,2.1,8.3
3758,2008,1,January,1.302,-79.0931,35.9705,9.5,-1.4,4.1,4.1,26.7,9.8,R,18.3,-1.2,5.7
3758,2008,2,February,1.302,-79.0931,35.9705,13.8,0.8,7.3,7.2,77,12.2,R,22.3,0.8,8.5
3758,2008,3,March,1.302,-79.0931,35.9705,17,4.1,10.6,10.7,163.8,16.1,R,25.2,2.7,11
3758,2008,4,April,1.302,-79.0931,35.9705,20.1,8.5,14.3,14.4,98.5,16.7,R,31.6,9.8,17.7
