"","Treat","Year","NMDS1.x","NMDS2.x","NMDS1.y","NMDS2.y"
"1","C->R->P","2017",-0.0662985064640489,-0.0123574304973323,0.00883273834765182,0.00454959184531537
"2","C->R->P","2018",-0.203753939097482,-0.0593179418116089,0.0551703710494874,0.0442542075423805
"3","C->R->P","2019",-0.01405718638261,0.0305044606381403,0.0365120152879409,0.0846367413849663
"4","Control","2017",-0.0641324521536114,-0.0113673819222363,0.00407737280031235,0.00601111653499863
"5","Control","2018",-0.0672912531080883,0.0436597639478335,0.0543732075340228,0.0675984976173797
"6","Control","2019",0.197736832416983,-0.011057495317166,0.267027161877561,0.032696540267228
"7","CR->P","2017",-0.0528539661258257,0.00268386196455735,0.0153638564836619,0.0177340720851024
"8","CR->P","2018",-0.0479939689083415,0.0247683802153052,0.0542333696237916,0.0877256984209674
"9","CR->P","2019",-0.0225469240828795,0.00759142313296784,0.0255350251723352,0.090051626331673
"10","CRP","2017",-0.0529580436768965,-0.0111888771752016,0.0275865808384078,0.00896074468777312
"11","CRP","2018",0.177657650577261,-0.0424514945813626,0.278386998668675,0.060802548684843
"12","CRP","2019",0.216491757005539,0.0385327314061036,0.286324755919893,0.0928685534928488
