Plot,Year,Acalypha sp. ,Acer rubrum,Aira caryophyllea ,Allium vineale,Ambrosia artemisiifolia,Andropogon virginicus ,Anthoxanthum odoratum,Apocynum cannibinum,Asclepias syriaca,Campsis radicans,Carex # 2 leathery,Carex complanata.,Carex sp.,Celtis laevigata,Cercis canadensis,Chamaecrista nictitans ,Conyza canadensis,Cornus florida,Cynodon dactylon ,Dactylis glomeratus,Danthonia spicata,Daucus carota,Desmodium sp. ,Dichanthelium dichotomum,"Dichanthelium sp. (""fuzzy panicum"")",Digitaria sanguinalis,Diodia teres,Eragrostis capillaris,Erechtites hieraciifolia,Erigeron annuus,Erigeron strigosus,Eupatorium capillaris,Fragaria sp.,Fraxinus sp.,Fuzzy Auricle Dichanthelium,Galium sp.,Gamochaeta purpurea,Holcus lanatus,Houstonia sp.,Hypericum sp.,Ipomea sp.,Juncus sp.,Juniperus virginiana,Kummerowia stipulacea,Lespedeza cuneata,Leucanthemum vulgare,Liquidambar styraciflua,Liriodendron tulipifera,Litter,Lonicera japonica,Medicago sp.,Oxalis dillenii,Packera anonyma,Parthenocissus quinquefolia,Paspalum dilatatum,Paspalum floridanum,Paspalum notatum,Physalis sp.,Pinus taeda,Plantago aristata,Plantago lanceolata,Poa pratensis,Prunella vulgaris,Ranunculus sp.,Rosa multiflora,Rubus argutus,Rumex acetosella,Salvia lyrata,Sassafras albidum,Schedonorus arundinaceus,Schizachyrium scoparium,Scutellaria integrifolia,Setaria parviflora,Sida rhombifolia,Smilax rotundifolia,Solanum carolinense ,Solidago altissima,Solidago pinetorum,Sorghastrum nutans,Sorghum halepense,Steinchisma hians,Symphotrichum pilosum,Thistle,Toxicodendron radicans,Tridens flavus,Trifolium pratense,Triodanis perfoliata,Tripsacum dactyloides,Ulmus alata,Unk  Dich-bigleaves,UNK Aster 1,Unk Dichanthelium #1,Unk Dich-longleaves,Urdica sp.,Verbesina occidentalis,Veronica sp.,Vetch,Vetch-short brown pods #2 ,Vitis sp.,
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,
3,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,95,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,
4,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,
5,2017,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,95,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,2017,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,
10,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
