Plot,row,column,Treat
1,1,1,Never
2,1,2,7-months
3,1,3,9-months
4,1,4,Year-round
5,2,1,9-months
6,2,2,7-months
7,2,3,Never
8,2,4,9-months
9,3,1,9-months
10,3,2,Year-round
11,3,3,Year-round
12,3,4,Never
13,4,1,Never
14,4,2,7-months
15,4,3,7-months
16,4,4,Never
17,5,1,7-months
18,5,2,7-months
19,5,3,Year-round
20,5,4,Never
21,6,1,Year-round
22,6,2,Year-round
23,6,3,Never
24,6,4,9-months
25,7,1,7-months
26,7,2,7-months
27,7,3,9-months
28,7,4,7-months
29,8,1,Never
30,8,2,Never
31,8,3,Year-round
32,8,4,9-months
33,9,1,9-months
34,9,2,7-months
35,9,3,7-months
36,9,4,Year-round
37,10,1,7-months
38,10,2,Never
39,10,3,7-months
40,10,4,Year-round
41,11,1,9-months
42,11,2,9-months
43,11,3,Year-round
44,11,4,Never
45,12,1,9-months
46,12,2,Never
47,12,3,7-months
48,12,4,9-months
49,13,1,9-months
50,13,2,Year-round
51,13,3,7-months
52,13,4,Year-round
53,14,1,Year-round
54,14,2,Never
55,14,3,Never
56,14,4,Year-round
57,15,1,Year-round
58,15,2,9-months
59,15,3,Year-round
60,15,4,9-months
61,16,1,7-months
62,16,2,Never
63,16,3,Never
64,16,4,9-months
