"","Species","NMDS1","NMDS2","Genus","spec","Abbrev","Group","Origin","Pathway","AccSpeciesID","Growth","Growth2","Family","Group2","Duration","Max_height_cm","Source_height_data"
"1","Acalypha sp.",0.121307890159984,-0.20194809550919,"Acalypha","sp","Acaly","Forbs","Native",NA,NA,"Forbs","Forbs","Euphorbiaceae","Dicot","Annual",NA,NA
"2","Allium vineale",-0.11706897196211,0.019530902406862,"Allium","vineale","Alli","Forbs","Exotic",NA,2590,"Forbs","Forbs","Liliaceae","Monocot","Perennial",NA,NA
"3","Andropogon virginicus",-0.192579862599832,0.0325034932786476,"Andropogon","virginicus","Andro","Grasses","Native","C4",3639,"C4","C4","Poaceae","Monocot","Perennial",36.3,"Wilfarhat 2020"
"4","Anthoxanthum odoratum",-0.104877080861803,0.0695397545659829,"Anthoxanthum","odoratum","Antho","Grasses","Exotic","C3",4036,"C3","C3","Poaceae","Monocot","Perennial",49.5,"Wilfarhat 2020"
"5","Apocynum cannibinum",-0.0250408172994934,-0.634347985836972,"Apocynum","cannibinum","Apocyn","Forbs","Native",NA,4237,"Forbs","Forbs","Apocynaceae","Dicot","Perennial",108.7,"Wilfarhat 2020"
"6","Celtis laevigata",-0.246422237600992,0.300896117636023,"Celtis","laevigata","Celt","Woody","Native",NA,11491,"Woody","Woody","Ulmaceae","Dicot","Perennial",NA,NA
"7","Conyza canadensis",0.254992472376646,-0.279347096352474,"Conyza","canadensis","Cony","Forbs","Native",NA,21638,"Forbs","Forbs","Asteraceae","Dicot","Annual",94.9,"Wilfarhat 2020"
"8","Cynodon dactylon",-0.138750840971339,-0.0975871306672136,"Cynodon","dactylon","Cyno","Grasses","Exotic","C4",NA,"C4","C4","Poaceae","Monocot","Perennial",NA,NA
"9","Daucus carota",-0.0883946220283593,-0.638185096395001,"Daucus","carota","Dauc","Forbs","Exotic",NA,NA,"Forbs","Forbs","Apiaceae","Dicot","Biennial",39,"Wilfarhat 2020"
"10","Desmodium sp.",-0.136993743296408,0.0597362258014467,"Desmodium","sp","Desm","Legumes","Native",NA,NA,"Legumes","Legumes","Fabaceae","Dicot","Perennial",NA,NA
"11","Digitaria sanguinalis",0.210842352368435,-0.272440972884065,"Digitaria","sanguinalis","Digi","Grasses","Exotic","C4",18103,"C4","C4","Poaceae","Monocot","Annual",47.6,"Wilfarhat 2020"
"12","Eragrostis capillaris",-0.127118038679745,0.0642849582610039,"Eragrostis","capillaris","Erag","Grasses","Native","C4",NA,"C4","C4","Poaceae","Monocot","Annual",37,"Wilfarhat 2020"
"13","Fraxinus sp.",0.070226984736768,0.248902636119185,"Fraxinus","sp","Frax","Woody","Native",NA,NA,"Woody","Woody","Oleaceae","Dicot","Perennial",NA,NA
"14","Holcus lanatus",-0.103226726976528,-0.129342516345099,"Holcus","lanatus","Holc","Grasses","Exotic","C3",29305,"C3","C3","Poaceae","Monocot","Perennial",35.3,NA
"15","Houstonia sp.",-0.004371444032696,-0.158973020865567,"Houstonia","sp","Hous","Forbs","Native",NA,NA,"Forbs","Forbs","Rubiaceae","Dicot","X",NA,NA
"16","Ipomea sp.",0.242766467666324,-0.186054527156486,"Ipomea","sp","Ipom","Forbs","X",NA,NA,"Forbs","Forbs","X","X","X",NA,NA
"17","Juncus sp.",0.0642248434356697,-0.926830412208268,"Juncus","sp","Junc","Grasses","X","C3",NA,"C3","C3","Juncaceae","Monocot","X",NA,NA
"18","Juniperus virginiana",-0.163342027460908,0.0632779032983219,"Juniperus","virginiana","Juni","Woody","Native",NA,31598,"Woody","Woody","Cupressaceae","Gymnosperm","Perennial",NA,NA
"19","Lespedeza cuneata",0.0291640241691305,0.357590344284754,"Lespedeza","cuneata","Lesp","Legumes","Exotic",NA,33012,"Legumes","Legumes","Fabaceae","Dicot","Perennial",101,"Wilfarhat 2020"
"20","Lonicera japonica",0.328380783573708,-0.127730924735289,"Lonicera","japonica","Loni","Woody","Exotic",NA,34141,"Woody","Woody","Caprifoliaceae","Dicot","Perennial",48.2,"Wilfarhat 2020"
